转债代码,低点日期,反弹日期,时长,击穿次数,最大收益
113525.SH,2021-11-22 10:00:00,2021-11-22 10:15:00,0 days 00:15:00,2,3.071262587141743
113525.SH,2021-11-23 15:00:00,2021-11-24 09:45:00,0 days 18:45:00,2,2.376889805960092
113525.SH,2021-11-25 13:15:00,2021-11-25 14:30:00,0 days 01:15:00,2,2.075221771765756
113525.SH,2021-11-29 09:45:00,2021-11-29 10:00:00,0 days 00:15:00,2,3.3279999999999976
113525.SH,2021-12-01 11:30:00,2021-12-01 13:15:00,0 days 01:45:00,2,1.7658730158730096
113527.SH,2021-08-20 13:30:00,2021-08-27 09:45:00,6 days 20:15:00,12,37.42724097788126
113527.SH,2021-08-31 14:00:00,2021-09-01 09:45:00,0 days 19:45:00,2,4.624174254597402
113527.SH,2021-09-15 09:45:00,2021-09-15 10:00:00,0 days 00:15:00,2,3.452738074230921
113527.SH,2021-09-22 10:30:00,2021-09-24 10:45:00,2 days 00:15:00,2,5.246113989637302
113527.SH,2021-09-29 15:00:00,2021-10-08 11:00:00,8 days 20:00:00,3,6.213551791169136
113527.SH,2021-10-12 14:15:00,2021-10-12 15:00:00,0 days 00:45:00,2,3.377758973274103
113527.SH,2021-10-15 10:30:00,2021-10-18 10:30:00,3 days 00:00:00,2,5.923627040885182
113527.SH,2021-11-08 09:45:00,2021-11-16 09:45:00,8 days 00:00:00,4,8.778625954198471
113527.SH,2021-11-16 10:00:00,2021-11-16 10:15:00,0 days 00:15:00,2,0.8472142446869668
113527.SH,2021-11-24 09:45:00,2021-11-24 09:45:00,0 days 00:00:00,3,13.33333333333333
113527.SH,2021-11-25 10:15:00,2021-11-25 10:30:00,0 days 00:15:00,2,5.913739439750998
113527.SH,2021-11-26 09:45:00,2021-11-26 10:30:00,0 days 00:45:00,2,5.088847844086364
113527.SH,2021-12-01 10:00:00,2021-12-02 10:00:00,1 days 00:00:00,2,3.725881570192935
113530.SH,2021-11-22 09:45:00,2021-11-23 09:45:00,1 days 00:00:00,2,2.74312007786921
113534.SH,2021-09-29 15:00:00,2021-09-30 15:00:00,1 days 00:00:00,3,18.812605103458345
113534.SH,2021-11-03 14:15:00,2021-11-11 13:45:00,7 days 23:30:00,4,27.668732782369165
113545.SH,2021-02-26 15:00:00,2021-03-01 13:15:00,2 days 22:15:00,5,8.824987605354483
113545.SH,2021-03-03 09:45:00,2021-03-03 10:00:00,0 days 00:15:00,2,4.391304347826086
113545.SH,2021-03-03 13:15:00,2021-03-03 13:15:00,0 days 00:00:00,2,3.587587404597592
113545.SH,2021-03-03 13:30:00,2021-03-03 13:30:00,0 days 00:00:00,2,1.8329476883989004
113545.SH,2021-03-04 10:00:00,2021-03-04 10:15:00,0 days 00:15:00,2,1.6510197474911115
113545.SH,2021-03-05 09:45:00,2021-03-05 10:00:00,0 days 00:15:00,3,4.029523239577082
113545.SH,2021-03-09 10:00:00,2021-03-09 11:30:00,0 days 01:30:00,5,6.578385305425027
113545.SH,2021-03-09 14:45:00,2021-03-09 15:00:00,0 days 00:15:00,2,4.00980289915529
113545.SH,2021-03-11 10:15:00,2021-03-11 10:30:00,0 days 00:15:00,2,1.7317520964620803
113545.SH,2021-03-16 13:30:00,2021-03-16 13:30:00,0 days 00:00:00,2,4.690586667891772
113545.SH,2021-03-16 13:45:00,2021-03-16 14:00:00,0 days 00:15:00,2,2.4539594843462353
113545.SH,2021-03-19 09:45:00,2021-03-19 10:00:00,0 days 00:15:00,2,4.1274264847203535
113545.SH,2021-03-19 13:45:00,2021-03-19 14:00:00,0 days 00:15:00,2,4.245474883058775
113545.SH,2021-03-22 09:45:00,2021-03-22 10:00:00,0 days 00:15:00,2,2.2479733426169934
113545.SH,2021-03-22 13:15:00,2021-03-22 14:00:00,0 days 00:45:00,2,2.3261824760920202
113545.SH,2021-03-24 14:45:00,2021-03-25 10:15:00,0 days 19:30:00,5,8.965807343308697
